IGNORE,4d7f8e953633a0933d33929d,4c50a9950ef3a593dff3b47a,4c518ecb3940be9ac8600c09,4c5c78af2815c928b628b267,4db1e0261e729fcc565c8903,4db3a54d5da3a76f442eeb4d,4ccb17ba566aa093d0a118fd,4eabf8f629c2152debf59ed2,502ecc49f1366d6c29421466,4bd46c445631c9b60b47a230,4b93cfa4f964a520dc5234e3,4ef74c9be5fa4f286b4be653,4d8799637e8ef04dcfa64abe,4e05cb2362e100e58164f4b0,4ce81098f1c6236a98745df0,4f80ffa7e4b01e69d787220c,4bdc52d1c79cc928d6fe85e9,5a16bcf318d43b3a0ca00d53,4fc4254de4b071420fb0ce57,4f777e15e4b0ca8cfd0ea752,4e17a97018a8166f73842f02,502b27dce4b095cd54ecf19b,4e0e89507d8bb178a8aa8ec6,52ce9c7c498eb505658f8840,507f19ed52622f097e451411,4f4c0fa9e4b05dbce9ca02d5,50805450e4b0948208c13cf1,54027ca4498e97b4650385bc,5190ea84498e133a487f6bc2,4d03c151347da1cd7a75278f,52079ac511d29b25c55e8a88,4e426cc6a8092520555402c8
139359983, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
514878834, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
26994894, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
5392042, ,1,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
119417226, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
59882092, ,1, , , , ,1, ,1,1, , , , ,1, ,1, , , , , , , , , , , , , , ,
74885540, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
41631238, , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , ,
414230649, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
27382055, , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,
35348018, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
59715182, ,1, , , ,1, , , ,1, , , , , , , , , , , , , , , , , , , , , ,
485772859, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
10239261, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,
12291161, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
9978137, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
461716799, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
78186837, ,1, ,1, ,1, , , , , , , , , , ,1, , , , , , , , , , , , , , ,
56622505, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,
1629461, ,1,1, , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , ,
92797544,1,1,1, ,1,1, , , , , ,1, , , , , , , , , , , , , , , , , , , ,
21333210, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,
27262424, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
25674033, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
64930464, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,
60791003, , , , , ,1, , , , , ,1, , , , , , , , , , , , , , , , , , , ,
74719802, ,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,
104042693,1,1,1, , ,1,1, , , , ,1, , ,1, , , , , , , , , , , , , , , , ,
80418904, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
14568529, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
18459307, , , ,1, , , , , ,1, , , ,1, , , , , , , , , , , ,1, , , , , ,
123246716, ,1,1, , , ,1, , , , , , , , , , , , , , , , , , , , , ,1, ,1,
6137240, , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , ,
27635490, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
35390960, ,1, , , , ,1, , , , ,1, , ,1, ,1, , , , , , , , , , , ,1, , ,
360527040, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,
126884923, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
48802524, ,1, , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , ,
58838985, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
42200194, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
144030284, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
33537117, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
52251390, , , , , ,1, , , , , ,1, , ,1, , , , , , , , , , , , , , , , ,
2605429, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
35489731, ,1,1, , , , , , , , , , ,1, , , , , , , , , , , , , , , , , ,
143788257, , , , ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , ,
199834895, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,
88942264, , ,1, ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , ,
5836687, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
182458968, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
22566820, ,1, , , , ,1, ,1, , , , , , , , , , , , , , , , , , , , , , ,
9907749,1,1,1, , , ,1, , , , , , ,1, ,1, , , , , , , , , , , , , , , ,
82745603, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
134823017, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
32786018, ,1, ,1, , , ,1,1, , , , , , , , , , , , , , , , , , , , , , ,
13378732, , , , , ,1,1, , , , ,1, , , , , , , , , , , , , , , , , , , ,
146249, , , , , , , ,1, , , , , , , , , , , ,1, , , , , , , , , , , ,
80232562, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
78514471, ,1,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,
59741915, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
9337690, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
8897241, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
10922599, ,1,1, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , ,
2351825, ,1, , , ,1, ,1, , , , , ,1, , , , , , , , , , , , , ,1, , , ,
23033373, ,1,1, , ,1, , , , , , , ,1, , , , , , , , , , , , , , , , , ,
12778666, , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,
12777963,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
19699378, , , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , , , ,
76934268,1,1, , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,
28075086, ,1, , , , , , ,1, , ,1,1, , , , , , , , , , , , , , , , , , ,
120995180, ,1,1, , ,1,1, ,1, , , , ,1, , , , , , , , , , , , , , , , , ,
48703482, ,1,1, , ,1, , ,1, , , , , , , ,1, , , , , , , , , , , , , , ,
44919427,1, , , ,1,1, ,1, , , , , , , , , , , , , , , , , , , , , , , ,
8727258,1, , , , , , , ,1, , , , , , , , , , ,1, , , , , ,1, , , , , ,
88665131,1,1, ,1,1, ,1,1,1, , ,1,1,1,1,1, , , ,1, , , , , , , , , , , ,
13832021, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
4398740, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,
